,Technology,Count,State
0,Body-worn Cameras,535,New Jersey
1,Ring/Neighbors Partnership,186,New Jersey
2,Drones,18,New Jersey
3,Camera Registry,16,New Jersey
4,Gunshot Detection,12,New Jersey
5,Predictive Policing,7,New Jersey
6,Face Recognition,3,New Jersey
7,Real-Time Crime Center,3,New Jersey
8,Automated License Plate Readers,2,New Jersey
9,Video Analytics,1,New Jersey
10,Fusion Center,1,New Jersey
11,Face Recognition,424,Michigan
12,Ring/Neighbors Partnership,93,Michigan
13,Body-worn Cameras,85,Michigan
14,Drones,24,Michigan
15,Automated License Plate Readers,13,Michigan
16,Camera Registry,4,Michigan
17,Video Analytics,4,Michigan
18,Real-Time Crime Center,2,Michigan
19,Gunshot Detection,2,Michigan
20,Fusion Center,2,Michigan
21,Cell-site Simulator,1,Michigan
22,Predictive Policing,1,Michigan
23,Body-worn Cameras,288,Wisconsin
24,Ring/Neighbors Partnership,73,Wisconsin
25,Drones,51,Wisconsin
26,Automated License Plate Readers,9,Wisconsin
27,Camera Registry,5,Wisconsin
28,Fusion Center,2,Wisconsin
29,Face Recognition,2,Wisconsin
30,Cell-site Simulator,2,Wisconsin
31,Gunshot Detection,1,Wisconsin
32,Predictive Policing,1,Wisconsin
33,Body-worn Cameras,275,South Carolina
34,Ring/Neighbors Partnership,39,South Carolina
35,Automated License Plate Readers,35,South Carolina
36,Drones,16,South Carolina
37,Camera Registry,5,South Carolina
38,Face Recognition,2,South Carolina
39,Gunshot Detection,1,South Carolina
40,Fusion Center,1,South Carolina
41,Body-worn Cameras,270,California
42,Automated License Plate Readers,264,California
43,Ring/Neighbors Partnership,162,California
44,Drones,115,California
45,Camera Registry,78,California
46,Face Recognition,65,California
47,Predictive Policing,21,California
48,Gunshot Detection,19,California
49,Cell-site Simulator,14,California
50,Video Analytics,11,California
51,Real-Time Crime Center,7,California
52,Fusion Center,6,California
53,Face Recognition,259,Florida
54,Body-worn Cameras,197,Florida
55,Ring/Neighbors Partnership,155,Florida
56,Drones,112,Florida
57,Automated License Plate Readers,97,Florida
58,Real-Time Crime Center,19,Florida
59,Camera Registry,18,Florida
60,Gunshot Detection,14,Florida
61,Predictive Policing,11,Florida
62,Video Analytics,7,Florida
63,Cell-site Simulator,5,Florida
64,Fusion Center,3,Florida
65,Ring/Neighbors Partnership,217,Illinois
66,Body-worn Cameras,128,Illinois
67,Drones,49,Illinois
