,State,Technology,Count
0,NJ,Body-worn Cameras,535
1,MI,Face Recognition,424
2,WI,Body-worn Cameras,288
3,SC,Body-worn Cameras,275
4,CA,Body-worn Cameras,270
5,CA,Automated License Plate Readers,264
6,FL,Face Recognition,259
7,IL,Ring/Neighbors Partnership,217
8,OH,Body-worn Cameras,205
9,FL,Body-worn Cameras,197
10,NJ,Ring/Neighbors Partnership,186
11,TX,Body-worn Cameras,171
12,CA,Ring/Neighbors Partnership,162
13,FL,Ring/Neighbors Partnership,155
14,TX,Ring/Neighbors Partnership,140
15,CO,Body-worn Cameras,135
16,IL,Body-worn Cameras,128
17,NY,Ring/Neighbors Partnership,126
18,CA,Drones,115
19,FL,Drones,112
20,LA,Body-worn Cameras,112
21,GA,Body-worn Cameras,109
22,CT,Body-worn Cameras,108
23,MA,Body-worn Cameras,105
24,PA,Ring/Neighbors Partnership,105
25,MN,Drones,99
26,OH,Ring/Neighbors Partnership,99
27,TN,Predictive Policing,98
28,FL,Automated License Plate Readers,97
29,MN,Body-worn Cameras,97
30,MI,Ring/Neighbors Partnership,93
31,TX,Drones,92
32,ME,Body-worn Cameras,92
33,VA,Body-worn Cameras,89
34,NC,Ring/Neighbors Partnership,87
35,MI,Body-worn Cameras,85
36,OH,Drones,80
37,CA,Camera Registry,78
38,TX,Automated License Plate Readers,75
39,MS,Body-worn Cameras,74
40,WI,Ring/Neighbors Partnership,73
41,AZ,Body-worn Cameras,73
42,NY,Drones,68
43,GA,Ring/Neighbors Partnership,68
44,NY,Body-worn Cameras,67
45,CA,Face Recognition,65
46,OK,Body-worn Cameras,59
47,CT,Ring/Neighbors Partnership,57
48,GA,Automated License Plate Readers,57
49,IN,Ring/Neighbors Partnership,56
50,OH,Automated License Plate Readers,52
51,MN,Automated License Plate Readers,52
52,WI,Drones,51
53,GA,Drones,49
54,NC,Body-worn Cameras,49
55,IL,Drones,49
56,IN,Body-worn Cameras,48
57,MO,Body-worn Cameras,47
58,PA,Body-worn Cameras,43
59,VA,Ring/Neighbors Partnership,43
60,MA,Ring/Neighbors Partnership,42
61,WA,Drones,42
62,MO,Ring/Neighbors Partnership,40
63,SC,Ring/Neighbors Partnership,39
64,RI,Body-worn Cameras,39
65,TX,Camera Registry,39
66,MN,Ring/Neighbors Partnership,39
67,NH,Body-worn Cameras,38
68,SD,Body-worn Cameras,37
69,KY,Body-worn Cameras,36
70,IL,Automated License Plate Readers,36
71,UT,Body-worn Cameras,35
72,SC,Automated License Plate Readers,35
73,AL,Drones,34
74,CO,Ring/Neighbors Partnership,34
75,IN,Drones,32
76,KS,Ring/Neighbors Partnership,32
77,NM,Body-worn Cameras,32
78,AZ,Ring/Neighbors Partnership,32
79,MD,Ring/Neighbors Partnership,32
80,UT,Ring/Neighbors Partnership,32
81,KY,Ring/Neighbors Partnership,31
82,OR,Ring/Neighbors Partnership,31
83,NV,Body-worn Cameras,31
84,PA,Drones,31
85,OK,Automated License Plate Readers,30
86,TN,Body-worn Cameras,29
87,CO,Drones,29
88,WA,Body-worn Cameras,28
89,AL,Ring/Neighbors Partnership,28
90,NY,Automated License Plate Readers,28
91,MO,Drones,27
92,AR,Body-worn Cameras,27
93,MD,Body-worn Cameras,27
94,OR,Body-worn Cameras,26
95,WA,Ring/Neighbors Partnership,26
96,TN,Ring/Neighbors Partnership,26
97,NC,Drones,25
98,AZ,Drones,24
99,MI,Drones,24
100,CO,Automated License Plate Readers,24
101,KS,Body-worn Cameras,23
102,NE,Body-worn Cameras,22
103,VA,Drones,22
104,AL,Automated License Plate Readers,22
105,KS,Drones,22
106,CA,Predictive Policing,21
107,NC,Automated License Plate Readers,21
108,AL,Body-worn Cameras,20
109,GA,Camera Registry,20
